,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
0,"Gold, silver price today, Jan 2, 2023: Precious metals record hike on MCX",India Today Web Desk,2023-01-02 00:00:00,date,https://www.indiatoday.in/business/story/gold-silver-prices-today-january-2-precious-metals-record-hike-on-mcx-check-rates-here-2316150-2023-01-02,indiatoday.in,Gold Price Today 2 January 2023 : Gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Monday. Check the latest city-wise prices here.,"Gold Price Today 2 January 2023 : Gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Monday. Check the latest city-wise prices here.Both the metals are retailing on the higher side of the MCX today. (Representative Image)By India Today Web Desk: On Monday, both gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX). The precious metals have recorded a jump on the domestic market.Gold futures, maturing on February 3, 2023, saw a hike of Rs 38 or 0.07 per cent on the MCX. It was trading at Rs 55,052 per 10 grams on January 2, 2023.Meanwhile, silver futures, maturing on March 3, 2023, witnessed a jump too and was retailing at Rs 69,503 per kg. Silver recorded a hike of Rs 40 or 0.06 per cent.GOLD, SILVER PRICES IN MAJOR CITIESCITYGOLD (per 10 grams, 22 carats)SILVER (per kg)NEW DELHIRs 50,750 Rs 71,300MUMBAIRs 50,600Rs 71,300KOLKATARs 50,600Rs 71,300HYDERABADRs 50,600Rs 74,300PUNERs 50,600Rs 71,300AHMEDABADRs 50,650Rs 71,300JAIPURRs 50,750 Rs 71,300CHENNAIRs 51,300Rs 74,300Gold and silver prices in India depend on several factors, including the value of the rupee against the dollar. Global demand also plays a key role in determining the trends observed in the rate of precious metals.
Published On: Jan 2, 2023",indiatoday.in,1817,news,IN,en,India Today Web Desk,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202301/istockphoto-486592060-612x612-sixteen_nine.jpg?VersionId=2FZxCTDcPW16rKxgFAIQK_96Gbbgk9_o,False,@indiatoday,9.644419,80010f938d43508c18fdde3e23aba3ad
1,"New to streaming this week: Julia Wolf, Margo Price and 'Gold, Lies & Videotape'",Associated Press,2023-01-09 00:00:00,date,https://www.dailyherald.com/entlife/20230109/new-to-streaming-this-week-julia-wolf-margo-price-and-gold-lies-amp-videotape,dailyherald.com,"The Discovery Channel and Discovery+ investigative series ""Gold, Lies & Videotape"" starts streaming Friday, Jan. 13, which also sees the debut of new music by Julia Wolf and Margo Price.","Here's a collection curated by The Associated Press' entertainment journalists of what's arriving on TV, streaming services and music and video game platforms this week. • In ""I Didn't See You There,"" filmmaker Reid Davenport captures his perspective navigating the world in a wheelchair as a disabled man with cerebral palsy. The film, which premieres Monday as part of PBS's ""POV,"" is a portrait of the challenges many with disabilities face and their often invisible struggle. (In one scene, Davenport is stuck on an airplane after landing.) But it's also the work of a keenly observant filmmaker, with an eye for beauty and a uniquely poetic point of view. Davenport shot this autobiographical film largely with a handheld camera and, sometimes, with one affixed to his wheelchair. Last year, the film won him the documentary directing prize at the Sundance Film Festival. • The title of Sierra Pettengill's ""Riotsville, USA"" refers to a fake town the U.S. military created in the 1960s to hold exercises mimicking police and military response to rioting. The drills, staged in front of cardboard storefronts, helped make a violent playbook for controlling the era's social unrest. ""A door swung open in the late '60s,"" reads Charlene Modeste in narration penned by essayist Tobi Haslett. ""And someone, something, sprang up and slammed it shut."" Using archival footage from those exercises, ""Riotsville, U.S.A,"" which debuts Thursday, Jan. 12, on Hulu, wearily surveys the militarization of the police force. • Martin Scorsese's monthly series of free virtual screenings of restored classics continues Monday, with George Stevens' sweeping Texas epic ""Giant"" (1956), with Elizabeth Taylor, Rock Hudson and James Dean. A live screening, with commentary, will begin at 7 p.m. EDT. -- AP Film Writer Jake Coyle • Alt-country singer-songwriter Margo Price's fourth studio full-length album, ""Strays,"" includes the super kiss-off single ""Change of Heart,"" with the lyrics, ""If you break both your legs/Don't come running to me."" The album features contributions from Sharon Van Etten, Lucius and Mike Campbell, plus the previously released track ""Been to the Mountain."" On ""Lydia,"" Price illustrates the internal strife and self-doubt of a struggling woman who finds herself pregnant and unable to raise a child. The album is released Friday, Jan. 13. Want more Price? Check out her new memoir, ""Maybe We'll Make It,"" which tracks her early years as an artist in Nashville. by signing up you agree to our terms of service • ""I got gothic babe tendencies/I always choose the dark,"" sings up-and-coming singer-songwriter Julia Wolf. Her debut full-length ""Good Thing We Stayed"" is set to drop on Friday, Jan. 13, and a highlight is the moody, lovely ""Gothic Babe Tendencies"" featuring blackbear. The Long Island-raised Wolf also leans into her dark side with the smooth and clever single ""Dracula"" and the lyrics, ""I call you Dracula/'Cause most of you people just can't even look in the mirror."" But she can also be cheeky, as with her sunny anthem ""Get Off My."" -- Entertainment Writer Mark Kennedy • The team behind the Emmy-nominated HBO docuseries ""McMillions"" are out with a new investigative series called ""Gold, Lies & Videotape."" It's about a family who claims their ancestors discovered a fortune in gold bars, jewels and coins hidden in a New Mexico cave, now worth billions. Before they could remove it, an accident barricaded the entrance. The land was then blocked off by the government for military use. One man has been pushing for decades to obtain what he believes belongs to his family, because finders keepers, while others wonder if the treasure trove is just a myth. ""Gold, Lies & Videotape"" delves into this story in six-parts debuting Friday, Jan. 13 on Discovery Channel and discovery+. The series features images of the treasure plus archival footage and present-day interviews. • Andie MacDowell and Chyler Leigh (formerly of ""Grey's Anatomy,"") co-star in a new drama called ""The Way Home."" The pair play an estranged mother and daughter who haven't spoken in decades until Leigh's character's teen daughter, played by Sadie Laflamme-Snow, brings them together for the first time in 20 years to hopefully repair what's broken. The 10-episode series debuts Sunday, Jan. 15 on Hallmark Channel. -- Alicia Rancilio -- The manga/anime series ""One Piece"" has spun off dozens of games over the last 25 years, though it hasn't become quite as popular in America as ""Dragon Ball Z"" or ""Yu-Gi-Oh."" Still, Bandai Namco is hoping to attract franchise fans, as well as aficionados of Japanese role-playing games, with One Piece Odyssey. Monkey D. Luffy, the wannabe King of the Pirates, and his Straw Hat Crew are marooned on a mysterious island and have to figure out how to make their ship, the Thousand Sunny, seaworthy again. The publisher says ""One Piece"" mastermind Eiichiro Oda contributed the plot, new characters and new monsters to this adventure, and you can climb aboard Friday, Jan. 13, on the PlayStation 5 and 4, Xbox X/S or PC. -- Lou Kesten",dailyherald.com,2869,news,US,en,Associated Press,https://www.dailyherald.com/storyimage/DA/20230109/ENTLIFE/230109512/AR/0/AR-230109512.jpg&updated=202301061746&imageversion=Facebook&exactH=630&exactW=1200&exactfit=crop&noborder,False,@dailyherald,10.369382,1d60bfebc44752377a8b862db3e08d34
2,"Gold, silver price today, Jan 12, 2023: Precious metals record hike on MCX",India Today Web Desk,2023-01-12 00:00:00,date,https://www.indiatoday.in/business/story/gold-silver-prices-today-january-12-precious-metals-record-hike-mcx-check-rates-here-2320477-2023-01-12,indiatoday.in,Gold Price Today 12 January 2023 : Gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Thursday. Check the latest city-wise prices here.,"Gold Price Today 12 January 2023 : Gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Thursday. Check the latest city-wise prices here. Today gold, silver price, Jan 12, 2023: Precious metals witnessed hike on MCX. (Photo: Aajtak) By India Today Web Desk: For a second day in a row, both gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Thursday, January 12.Witnessing a hike of Rs 157 or 0.28 per cent on the MCX, gold futures, maturing on February 3, 2023, were trading at Rs 55,862 per 10 grams.Meanwhile, silver futures, maturing on March 3, 2023, also recorded a jump of Rs 417 or 0.61 percent and were retailing at Rs 68,479 per kg on the MCX.Notably, the prices of gold and silver stood at Rs 55,693 per 10 grams and Rs 67,973 per kg respectively when the market closed on January 11.GOLD, SILVER PRICES IN MAJOR CITIESCITYGOLD (per 10 grams, 22 carats)SILVER (per kg)NEW DELHI Rs 51,440Rs 71,500MUMBAIRs 51,290Rs 71,500KOLKATARs 51,290Rs 71,500CHENNAIRs 52,290Rs 74,000Notably, the gold and silver prices in India depend on several factors, including the value of the rupee against the dollar. Global demand also plays a key role in determining the trends observed in the rate of precious metals.
Published On: Jan 12, 2023",indiatoday.in,1817,business,IN,en,India Today Web Desk,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202301/gold_and_silver_2-sixteen_nine-sixteen_nine.jpg?VersionId=iOsaTYrtJGuYtzR3ZdyqxAfEiYdGzspO,False,@indiatoday,9.658632,f6cb19af5acc591cbef6a1c1d48d99e8
3,"Gold Prices Break Higher After US CPI Sank US Dollar, Where to for XAU/USD?",Daniel Dubrovsky,2023-01-13 00:00:00,date,https://www.dailyfx.com/news/gold-prices-break-higher-after-us-cpi-sank-us-dollar-where-to-for-xau-usd-20230113.html,dailyfx.com,"Gold prices roared higher after an in-line US CPI report sank the US Dollar and Treasury yields. XAU/USD broke higher, restoring momentum. Where to from here?","Gold prices roar higher as in-line US CPI report sinks US DollarMarkets slowly pricing out 2 more Fed rate hikes in months aheadXAU/USD breakout restores upside momentum, hinting at gains


 










Recommended by Daniel Dubrovsky


Get Your Free Gold Forecast

 

Asia-Pacific Market Briefing – US CPI Report Boosts Gold Prices as USD SinksGold prices roared higher on Thursday in the aftermath of December's US inflation report. Headline CPI crossed the wires at 6.5 percent y/y, which was in line with expectations and down from November's 7.1% result. There seemed to be rising expectations of a lower-than-anticipated outcome being priced in by markets. But, as expected, this was an unlikely scenario.Meanwhile, the core rate clocked in at 5.7%, which was also as expected and down from 6.0% prior. Looking at the chart below, we can see that the gap between headline and core continues to shrink. At 0.8 percentage points, it is now the smallest since February 2021. Meanwhile, the shelter component clocked in at 7.5% y/y! This means housing is outperforming both headline and core CPI.But, that is as expected due to the lag impact of housing as it slowly makes its way into official statistics. Peak shelter might occur between March and April. While energy prices continue to weaken, food has been sticky. The latter clocked in at 10.4% y/y. An ongoing egg shortage is also not helping. So, what were the key takeaways from a market perspective and precious metals?Well, markets are slowly taking away expectations of a further 2 rate hikes over the next couple of Federal Reserve policy meetings. This meant Treasury yields turned lower and the US Dollar weakened. Anti-fiat gold thus capitalized on this dynamic and may continue doing so in the near term. Silver also aimed higher, but XAG/USD has been unable to find a meaningful upside breakout.Looking ahead to Friday's Asia-Pacific trading session, gold may continue pushing higher. The economic docket is fairly quiet, leaving risk appetite as the key driver. Wall Street did finish in the green on Thursday, opening the door to a rosy session for indices like the ASX 200, Nikkei 225 and Hang Seng Index. That may bode ill for the haven-linked US Dollar.A Closer Look at InflationGold Technical AnalysisOn the daily chart, gold finally broke above the 1869 – 1879 resistance zone. Prices stopped right on the 100% Fibonacci extension level at 1897. This has also exposed April highs, which make for a key zone of resistance between 1978 and 1998. Negative RSI divergence is also no longer present, showing that upside momentum is picking up. Putting all of this together, gold might be aiming higher ahead.


 










Recommended by Daniel Dubrovsky


Get Your Free Top Trading Opportunities Forecast

 

XAU/USD ChartChart Created in TradingView--- Written by Daniel Dubrovsky, Senior Strategist for DailyFX.comTo contact Daniel, follow him on Twitter:@ddubrovskyFX",dailyfx.com,9229,economics,US,en,Daniel Dubrovsky,https://a.c-dn.net/b/4Foxxj/GOLD_12.JPG,False,,9.148067,7c483d4e1e3c556e00da55fb5935d911
4,"Gold prices rise to all-time high of Rs 57,000",Sachin Kumar,2023-01-25 00:00:00,date,https://www.newindianexpress.com/business/2023/jan/25/gold-prices-rise-to-all-time-high-of-rs-57000-2541197.html,newindianexpress.com,"'The combination of slower global growth, niggling inflation and deglobalisation ensures gold will return as a safe diversifier in times of escalating uncertainty,' she added.","MUMBAI:  Gold prices touched an all-time high on Tuesday with prices of yellow metal crossing Rs 57,000 for the first time in the futures market. Gold futures rose to Rs 57,050 per 10 gram on MCX. Gold prices have risen nearly 4 % so far in 2023, tracking gains in the overseas market and weakness in the dollar index. 'Gold prices have inverse correlation with the dollar index. The index has fallen nearly 15% in the past three months,  which has pushed up the prices of gold,' Renisha Chainani, head - research, Augmont- Gold For All- a gold trading and research platform, told the newspaper. 'The combination of slower global growth, niggling inflation and deglobalisation ensures gold will return as a safe diversifier in times of escalating uncertainty,' she added. The US dollar index is the value of the US dollar relative to a basket of six major currencies. A rise in index value denotes that the dollar is gaining against its counterparts and a fall in index value denotes a depreciation in the dollar's value.   Going forward, this interplay between inflation and central bank intervention will be key in determining the outlook for 2023 and the yellow metal's performance. Deteriorating outlook for global economy has also fueled the demand of yellow metal, which is considered as a safe haven in uncertain times. Fear of recession has also pushed up the prices of gold. The investment demand has also surged with central banks continue to add gold to their reserves. Central bank purchases of bullion hit a record in the third quarter of 2022 at almost 400 tonnes. China joined the league by adding 62 tonnes of gold in the last quarter of 2022. Experts expect gold prices to rally further in the coming months. 'Gold prices are expected to rise 5% in the next three months, which means gold may trade around Rs 60,000 per 10 gram. By the end of 2023, I expect the gold prices to reach around 65000 per 10 gram,' said Chainani.  Gold prices rise nearly 4% so far in 2023
Gold futures rose to Rs 57,050 per 10 gram on MCX. Gold prices have risen nearly 4 % so far in 2023, tracking gains in the overseas market and weakness in the dollar index 

MUMBAI:  Gold prices touched an all-time high on Tuesday with prices of yellow metal crossing Rs 57,000 for the first time in the futures market. Gold futures rose to Rs 57,050 per 10 gram on MCX. Gold prices have risen nearly 4 % so far in 2023, tracking gains in the overseas market and weakness in the dollar index.

'Gold prices have inverse correlation with the dollar index. The index has fallen nearly 15% in the past three months,  which has pushed up the prices of gold,' Renisha Chainani, head - research, Augmont- Gold For All- a gold trading and research platform, told the newspaper.

'The combination of slower global growth, niggling inflation and deglobalisation ensures gold will return as a safe diversifier in times of escalating uncertainty,' she added. The US dollar index is the value of the US dollar relative to a basket of six major currencies.

A rise in index value denotes that the dollar is gaining against its counterparts and a fall in index value denotes a depreciation in the dollar's value.   Going forward, this interplay between inflation and central bank intervention will be key in determining the outlook for 2023 and the yellow metal's performance.

Deteriorating outlook for global economy has also fueled the demand of yellow metal, which is considered as a safe haven in uncertain times. Fear of recession has also pushed up the prices of gold. The investment demand has also surged with central banks continue to add gold to their reserves.

Central bank purchases of bullion hit a record in the third quarter of 2022 at almost 400 tonnes. China joined the league by adding 62 tonnes of gold in the last quarter of 2022. Experts expect gold prices to rally further in the coming months. 'Gold prices are expected to rise 5% in the next three months, which means gold may trade around Rs 60,000 per 10 gram. By the end of 2023, I expect the gold prices to reach around 65000 per 10 gram,' said Chainani. 

Gold prices rise nearly 4% so far in 2023
Gold futures rose to Rs 57,050 per 10 gram on MCX. Gold prices have risen nearly 4 % so far in 2023, tracking gains in the overseas market and weakness in the dollar index",newindianexpress.com,3045,business,IN,en,Sachin Kumar,https://images.newindianexpress.com/uploads/user/imagelibrary/2022/11/30/w600X390/Gold_Jewellery_EPS.jpg,False,NewIndianXpress,11.262804,54f3f23d2b94e2c1f6c9e116de7f7ea6
5,"Gold, silver price today, Feb 2, 2023: Precious metals trade higher on MCX",India Today Web Desk,2023-02-02 00:00:00,date,https://www.indiatoday.in/business/story/gold-silver-prices-today-february-2-precious-metals-record-hike-mcx-latest-rates-2329414-2023-02-02,indiatoday.in,Gold Price Today 2 February 2023: Both gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Thursday. Check the latest city-wise prices here.,"Gold Price Today 2 February 2023: Both gold and silver are trading on the higher side of the Multi Commodity Exchange (MCX) on Thursday. Check the latest city-wise prices here. Today gold, silver price, Feb 2, 2023: Precious metals witnessed a hike on MCX today. (Photo: Representational) By India Today Web Desk: Both gold and silver prices witnessed a hike on the Multi Commodity Exchange (MCX) for a second day in a row on Thursday, February 2.Witnessing a hike of Rs 615 or 1.06 per cent, gold futures, maturing on April 5, 2023, were retailing at Rs 58,660 per 10 grams on the MCX.Similarly, silver futures, maturing on March 3, 2023, also recorded a jump of Rs 1350 or 1.93 percent and were trading at Rs 71,500 per kg on the MCX.Notably, the prices of gold and silver stood at Rs 57,885 per 10 grams and Rs 69,841 per kg respectively when the market closed on February 1.GOLD, SILVER PRICES IN MAJOR CITIESCITYGOLD (per 10 grams, 22 carats) SILVER (per kg) NEW DELHI Rs 53,160Rs 73,300MUMBAIRs 53,010Rs 73,300KOLKATARs 53,010Rs 73,300CHENNAIRs 54,160Rs 76,000The gold and silver prices in India depend on several factors, including the value of the rupee against the dollar. Global demand also plays a key role in determining the trends observed in the rate of precious metals.
Published On: Feb 2, 2023",indiatoday.in,1817,business,IN,en,India Today Web Desk,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202302/gold_silver_prices_today_precious_metals_record_hike_on_mcx_check_latest_rates_here_-_business_ne-sixteen_nine-sixteen_nine.jpg?VersionId=4_D0LnIHRbDUeq7Z3pLNZSVwUlnB5z0H,False,@indiatoday,9.6456785,20af4ec1165807d2bae930d1701aa734
6,China's benchmark interbank gold prices higher Friday,WJH,2023-02-10 00:00:00,date,https://en.gmw.cn/,gmw.cn,"10 (Xinhua) -- China's benchmark prices for spot interbank gold transactions were higher Friday, according to the China Foreign Exchange Trade System. The benchmark price for gold that is 99.95…","BEIJING, Feb. 10 (Xinhua) -- China's benchmark prices for spot interbank gold transactions were higher Friday, according to the China Foreign Exchange Trade System.


The benchmark price for gold that is 99.95 percent pure or above stood at 413.51 yuan (about 60.91 U.S. dollars) per gram, up 0.71 yuan from the previous trading day, while the price for gold that is 99.99 percent pure or above went up 1.09 yuan to 414.54 yuan per gram.


Spot transaction prices on the interbank price inquiry market are allowed to rise or fall within 15 percent from the benchmark prices each trading day.


The interbank gold price inquiry business was introduced in 2012 to enhance market liquidity and enrich trading models.
 
Editor: WJH",gmw.cn,1639,news,CN,en,WJH,https://img.gmw.cn/logo/gmw_logo_280x150.jpg,False,@GuangmingOnline,11.814957,20b7cf87f706776de1cc1fb7075df454
7,Gold Forecast: Gold Is Making An Argument For Higher Pricing,,2023-03-02 00:00:00,date,https://menafn.com/1105695713/Gold-Forecast-Gold-Is-Making-An-Argument-For-Higher-Pricing,menafn.com,"The gold markets rallied during Wednesday's trading session, reaching towards the 50-Day EMA. It's worth noting that the market i","The gold markets rallied during Wednesday's trading session, reaching towards the 50-Day EMA.

It's worth noting that the market is trading between the 50-Day EMA and the 200-Day EMA indicators, attracting traders from both sides of the trade and leading to choppy behavior. It's expected that we may face some trouble in this region but breaking above the 50-Day exponential moving average on a daily close could propel gold much higher.

Advertisement gold trading never looked

so

good!

trade with fast execution, trading signals + 24-hour support. get started Focus on short Term Charts for the Best Trading Opportunities

This is likely, as traders seek to protect their wealth in the current environment. After all, do not underestimate the damage that was done to portfolios last year, and of course the havoc that all of the volatility that we have seen could have on the psychology of the overall market.

The 200-Day EMA has offered significant support , and systematic traders have joined in, pushing the market higher. As traders worry about currency depreciation worldwide, gold makes sense as a safe haven asset. The market is expected to try and reach towards the highs but breaking past the crucial $1900 level has been difficult for buyers in the past. If we do break above that level, a move towards the $2000 level is likely. Additionally, the 200-Day EMA sitting above the 50% fibonacci level makes sense. Because of this, I think the market is going to do everything you can to test those previous inverted hammers, and perhaps try to break above there.

Going forward, buying dips is likely to be the best approach to trading this market . However, keep in mind that volatility remains extreme in most markets, and multiple opportunities are expected to arise. You will more likely than not will have to look to short-term forex charts to place your trade, because the longer term traders are going to have to deal with a significant amount of volatility. The only way that a longer-term trader gets through this with their sanity is probably with a very small position, or completely unlevered due to all of the noise that I see in this market. Ultimately, gold is probably a nice long term holding, but in the short term it's going to be messy, so you need to be prepared for that. I don't have any interest in shorting this market anytime soon as gold has proven its resiliency at a major level in the last few days.

Ready to trade today's gold prediction ? Here's a list of some of the best gold brokers to check out.",menafn.com,6165,news,US,en,,https://menafn.com/updates/pr/2023-03/02/DF_92522image_story.jpeg,False,,13.965119,38c139850d93a2bb0ae32c584c19375e
8,Gold Technical Analysis: Gold Price Is Trying To Recover,,2023-03-02 00:00:00,date,https://menafn.com/1105695696/Gold-Technical-Analysis-Gold-Price-Is-Trying-To-Recover,menafn.com,"For two days in a row, the price of xau/usd gold tried to rebound to the upside and recover from the strong and sharp selling operations","For two days in a row, the price of xau/usd gold tried to rebound to the upside and recover from the strong and sharp selling operations.

These operations pushed it towards the support level at $1805 an ounce, its lowest in two months, but the attempts to rebound I see that it is still weak.

It did not exceed the level of $1844 an ounce and settled around the level of $1835 an ounce. The weakness of the rebound in the first place amid the continued strength of the US dollar due to the expectations of raising interest rates by the US Federal Reserve Bank.

In general, the winds of hope in the month of March blow to the financial markets that the reopening of China will compensate for the weakness in other countries suffering from stubborn inflation and a worsening cost of living crisis. China's huge economy is recovering from the pain of the pandemic, with the latest reading of the closely watched survey on factory activity showing better-than-expected growth in February.

According to the official announcement, the Caixin General Manufacturing PMI rose to a reading of 51.6, beating expectations of 50.2, up from a reading of 49.2 in January. A level above 50 indicates growth and this is the best result since May 2021 before the stressful effects of rolling lockdowns took effect, and the first jump in activity since July, with new orders coming in, staffing levels increasing and production picking up. Meanwhile, Hong Kong's Hang Seng Index rose, on a wave of positivity with the outlook for next year being particularly well received, given optimism rising to a two-year high. The Covid crisis is quickly receding into the rearview mirror and the demand for raw materials to maintain factory lines is expected to be in rapid circulation.

At the same time, the price of brent crude rose in the wake of the news that it is heading towards $ 84 a barrel, amid expectations of increasing industry thirst for energy in China. The British pound gave up much of its gains, which had been driven by new expectations that the Bank of England will continue to raise interest rates and possibly keep them higher for longer.

Supply concerns also persisted as Russia cut oil exports further. But concerns about a slowdown in the US are keeping a cap on prices for the time being, as concerns persist about the delayed impact of higher interest rates on the world's largest economy. Over the course of the month, the benchmark index fell around 3%, highlighting the extent to which concerns about a global slowdown remain front and center despite a more positive picture regarding economic growth in China.

After a weak February, Wall Street appears to be starting the new month on another pessimistic note, with futures lower, as investors await the latest US PMI manufacturing and construction data. The preliminary reading for February continued to decline.

Advertisement ready to start trading gold?

we've got you covered! get started!

There will be a close rehearsal of any clues as to whether, in the final readings, the level of business activity proves more resilient and any change to the upside could add fresh concern about inflation which is proving very sticky. The UK housing market is back in sharp focus today as the Nationwide House Price Index fell for the sixth month in a row. Buyers are dominating the market at the moment. They know they have the upper hand, since public interest is so weak, so they're clearly bullish about getting discounts from sellers.

There is some hope that lower deals now on the market, compared to the fall's horrific mortgage mayhem may see demand increase, but it's still too early to tell how far rates will fall. XAU/USD gold price forecast today:

There is no change in my technical view of the performance of the gold market. According to the performance on the daily timeframe chart, the general trend of the XAU/USD gold price is still bearish. We indicated in the recent technical analysis of the gold price that approaching the psychological support level of $1800 will deepen the movement of the technical indicators towards oversold levels. It can be expected to think about buying while not taking risks from support levels at 1800 and 1785 dollars an ounce, respectively. From the last level, it is better to start thinking about buying gold.

The resistance stations at 1845 and 1872 dollars, respectively, will be the most important for an exit from the current bearish channel. The price of gold today will be affected by the level of the US dollar, in response to the number of weekly US jobless claims and statements by some US monetary policy officials, as well as the extent to which investors are willing to take risks or not.

Ready to trade today's gold prediction ? Here's a list of some of the best xau/usd brokers to check out.",menafn.com,6165,news,US,en,,https://menafn.com/updates/pr/2023-03/02/DF_b4fa1image_story.jpeg,False,,13.952459,22ca23f9e54e15056c3c4b8307e7b416
9,China's benchmark interbank gold prices lower Tuesday,WXL,2023-02-28 00:00:00,date,https://en.gmw.cn/,gmw.cn,"dollars) per gram, down 0.79 yuan from the previous trading day, while the price for gold that is 99.99 percent pure or above went down 0.97 yuan to 413.04 yuan per gram.","BEIJING, Feb. 28 (Xinhua) -- China's benchmark prices for spot interbank gold transactions were lower Tuesday, according to the China Foreign Exchange Trade System.


The benchmark price for gold that is 99.95 percent pure or above stood at 413.16 yuan (about 59.43 U.S. dollars) per gram, down 0.79 yuan from the previous trading day, while the price for gold that is 99.99 percent pure or above went down 0.97 yuan to 413.04 yuan per gram.


Spot transaction prices on the interbank price inquiry market are allowed to rise or fall within 15 percent from the benchmark prices each trading day.


The interbank gold price inquiry business was introduced in 2012 to enhance market liquidity and enrich trading models.
 
Editor: WXL",gmw.cn,1639,news,CN,en,WXL,https://img.gmw.cn/logo/gmw_logo_280x150.jpg,False,@Guangming Online,11.8155365,1ed7f1b44a9f0c2f94f62af5579f53c2
