Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,130.279999,147.229996,124.169998,144.289993,143.487961,1443652500
2023-02-01,143.970001,157.380005,141.320007,147.410004,146.590637,1307198900
2023-03-01,146.830002,165.000000,143.899994,164.899994,164.233780,1520266600
2023-04-01,164.270004,169.850006,159.779999,169.679993,168.994476,969709700
2023-05-01,169.279999,179.350006,164.309998,177.250000,176.533890,1275155500
2023-06-01,177.699997,194.479996,176.929993,193.970001,193.453552,1297101100
2023-07-01,193.779999,198.229996,186.600006,196.449997,195.926956,996066400
2023-08-01,196.240005,196.729996,171.960007,187.869995,187.369781,1322439400
2023-09-01,189.490005,189.979996,167.619995,171.210007,170.984741,1337586600
2023-10-01,171.220001,182.339996,165.669998,170.770004,170.545319,1172719600
2023-11-01,171.000000,192.929993,170.119995,189.949997,189.700073,1099586100
2023-12-01,190.330002,199.619995,187.449997,192.529999,192.529999,1062774800
