Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,118.470001,118.800003,101.809998,113.059998,113.059998,790689200
2023-01-08,118.959999,125.949997,114.919998,122.400002,122.400002,891852300
2023-01-15,125.699997,136.679993,124.309998,133.419998,133.419998,691307300
2023-01-22,135.869995,180.679993,134.270004,177.899994,177.899994,1095958300
2023-01-29,178.050003,199.000000,162.779999,189.979996,189.979996,1091608900
2023-02-05,193.009995,214.000000,189.550003,196.889999,196.889999,973057500
2023-02-12,194.419998,217.649994,187.610001,208.309998,208.309998,1013262600
2023-02-19,204.990005,209.710007,191.779999,196.880005,196.880005,660435200
2023-02-26,202.029999,211.229996,186.009995,197.789993,197.789993,806720000
2023-03-05,198.539993,198.600006,168.440002,173.440002,173.440002,789636400
2023-03-12,167.460007,186.220001,163.910004,180.130005,180.130005,711837700
2023-03-19,178.080002,200.660004,176.350006,190.410004,190.410004,693958500
2023-03-26,194.419998,207.789993,185.429993,207.460007,207.460007,623640500
2023-04-02,199.910004,202.690002,179.740005,185.059998,185.059998,553750100
2023-04-09,179.940002,191.580002,176.110001,185.000000,185.000000,617553500
2023-04-16,186.320007,189.690002,160.559998,165.080002,165.080002,668971700
2023-04-23,164.649994,165.649994,152.369995,164.309998,164.309998,664901000
2023-04-30,163.169998,170.789993,158.830002,170.059998,170.059998,559552100
2023-05-07,173.720001,177.380005,166.559998,167.979996,167.979996,582522100
2023-05-14,167.660004,181.949997,164.350006,180.139999,180.139999,574899400
2023-05-21,180.699997,198.600006,178.220001,193.169998,193.169998,685490800
2023-05-28,200.100006,217.250000,195.119995,213.970001,213.970001,591689300
2023-06-04,217.800003,252.419998,212.529999,244.399994,244.399994,848137500
2023-06-11,247.940002,263.600006,244.589996,260.540009,260.540009,811032600
2023-06-18,261.500000,276.989990,248.250000,256.600006,256.600006,720868300
2023-06-25,250.070007,264.450012,240.699997,261.769989,261.769989,748280600
2023-07-02,276.489990,284.250000,272.880005,274.429993,274.429993,485150900
2023-07-09,276.470001,285.299988,265.100006,281.380005,281.380005,539522500
2023-07-16,286.630005,299.290009,255.800003,260.019989,260.019989,722568100
2023-07-23,255.850006,272.899994,254.119995,266.440002,266.440002,560265300
2023-07-30,267.480011,269.079987,250.490005,253.860001,253.860001,466312800
2023-08-06,251.449997,253.649994,238.020004,242.649994,242.649994,517701600
2023-08-13,235.699997,240.660004,212.360001,215.490005,215.490005,555809500
2023-08-20,221.550003,240.820007,220.580002,238.589996,238.589996,573767800
2023-08-27,242.580002,261.179993,235.350006,245.009995,245.009995,604843900
2023-09-03,245.000000,258.000000,243.270004,248.500000,248.500000,480110000
2023-09-10,264.269989,278.980011,260.609985,274.390015,274.390015,663474100
2023-09-17,271.160004,273.929993,244.479996,244.880005,244.880005,574817000
2023-09-24,243.380005,254.770004,234.580002,250.220001,250.220001,588632500
2023-10-01,244.809998,263.600006,242.619995,260.529999,260.529999,592623500
2023-10-08,255.309998,268.940002,250.220001,251.119995,251.119995,541322100
2023-10-15,250.050003,257.179993,210.419998,211.990005,211.990005,616134600
2023-10-22,210.000000,222.050003,202.509995,207.300003,207.300003,585973400
2023-10-29,209.279999,226.369995,194.070007,219.960007,219.960007,621446800
2023-11-05,223.979996,226.320007,205.690002,214.649994,214.649994,613925200
2023-11-12,215.600006,246.699997,211.610001,234.300003,234.300003,719922800
2023-11-19,234.039993,244.009995,231.020004,235.449997,235.449997,421683900
2023-11-26,236.889999,252.750000,231.899994,238.830002,238.830002,649509700
2023-12-03,235.750000,246.660004,233.289993,243.839996,243.839996,578629500
2023-12-10,242.740005,254.130005,228.199997,253.500000,253.500000,636078500
2023-12-17,253.779999,259.839996,247.000000,252.539993,252.539993,551094900
2023-12-24,254.490005,265.130005,247.429993,248.479996,248.479996,407622000
