,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
0,Piedmont Lithium Amends Agreement With Tesla,,2023-01-03 00:00:00,date,https://www.businesswire.com/news/home/20230103005156/en/Piedmont-Lithium-Amends-Agreement-With-Tesla,businesswire.com,"Piedmont Lithium ('Piedmont' or the 'Company') (Nasdaq:PLL; ASX:PLL), a leading global developer of lithium resources critical to the U.S. electric ve","January 03, 2023 06:50 AM Eastern Standard Time BELMONT, N.C.--(BUSINESS WIRE)--Piedmont Lithium ('Piedmont' or the 'Company') (Nasdaq:PLL; ASX:PLL), a leading global developer of lithium resources critical to the U.S. electric vehicle ('EV') supply chain, today announced that it has amended its agreement with Tesla, Inc. ('Tesla') to supply the U.S. automaker with spodumene concentrate ('SC6') from North American Lithium ('NAL').

Piedmont and Tesla have mutually agreed to amend their previous offtake agreement with the terms of this new agreement, which are binding for a three-year term and include an option to renew for another three years. Under the amended agreement, Piedmont has agreed to deliver approximately 125,000 metric tons of SC6 to Tesla beginning in H2 2023 through the end of 2025.

According to the terms, the SC6 pricing will be determined by a formula-based mechanism linked to average market prices for lithium hydroxide monohydrate throughout the term of the agreement. The pricing received by Piedmont under the agreement with Tesla will be determined by market prices at the time of each shipment.

'We are pleased to be able to partner with Tesla to supply lithium resources produced in North America,' said Piedmont Lithium President and CEO Keith Phillips. 'The electric vehicle and critical battery materials landscape has changed significantly since 2020 and this agreement reflects the importance of – and growing demand for – a North American lithium supply chain. This agreement helps to ensure that these critical resources from Quebec remain in North America and support the mission of the Inflation Reduction Act to bolster the U.S. supply chain, the clean energy economy, and global decarbonization.'

Spodumene concentrate production is expected to restart at NAL in H1 2023, with first commercial shipments expected to begin in Q3 2023. Piedmont plans to deliver SC6 to Tesla from NAL under Piedmont's offtake agreement with Sayona Quebec, which entitles Piedmont to purchase the greater of 113,000 metric tons per year or 50% of SC6 production. Piedmont's purchases of SC6 from Sayona Quebec are subject to floor and ceiling prices for the life-of-mine term.

About Piedmont Lithium

Piedmont Lithium (Nasdaq:PLL; ASX:PLL) is developing a world-class, multi-asset, integrated lithium business focused on enabling the transition to a net zero world and the creation of a clean energy economy in North America. Our goal is to become one of the largest lithium hydroxide producers in North America by processing spodumene concentrate produced from assets where we hold an economic interest. Our projects include our Carolina Lithium and Tennessee Lithium projects in the United States and partnerships in Quebec with Sayona Mining (ASX:SYA) and in Ghana with Atlantic Lithium (AIM:ALL; ASX:A11). These geographically diversified operations will enable us to play a pivotal role in supporting America's move toward energy independence and the electrification of transportation and energy storage. For more information, follow us on Twitter @PiedmontLithium and visit www.piedmontlithium.com.

Forward-Looking Statements

This press release contains forward-looking statements within the meaning of or as described in securities legislation in the United States and Australia, including statements regarding exploration, development, construction and sales activities of Sayona Mining, Atlantic Lithium and Piedmont; current plans for Piedmont's mineral and chemical processing projects; and strategy. Such forward-looking statements involve substantial and known and unknown risks, uncertainties, and other risk factors, many of which are beyond our control, and which may cause actual timing of events, results, performance or achievements and other factors to be materially different from the future timing of events, results, performance, or achievements expressed or implied by the forward-looking statements. Such risk factors include, among others: (i) that Piedmont, Sayona Mining or Atlantic Lithium will be unable to commercially extract or deliver mineral deposits to Tesla or otherwise, (ii) that Piedmont's, Sayona Mining's or Atlantic Lithium's properties may not contain expected reserves, (iii) risks and hazards inherent in the mining business (including risks inherent in exploring, developing, constructing and operating mining projects, environmental hazards, industrial accidents, weather or geologically related conditions), (iv) uncertainty about Piedmont's ability to obtain required capital to execute its business plan, (v) Piedmont's ability to hire and retain required personnel, (vi) changes in the market prices of lithium and lithium products, (vii) changes in technology or the development of substitute products, (viii) the uncertainties inherent in exploratory, developmental and production activities, including risks relating to permitting, zoning and regulatory delays related to our projects as well as the projects of our partners in Quebec and Ghana, (ix) uncertainties inherent in the estimation of lithium resources, (x) risks related to competition, (xi) risks related to the information, data and projections related to Sayona Mining or Atlantic Lithium, (xii) occurrences and outcomes of claims, litigation and regulatory actions, investigations and proceedings, (xiii) risks regarding our ability to achieve profitability, enter into and deliver product under supply agreements on favorable terms, our ability to obtain sufficient financing to develop and construct our projects, our ability to comply with governmental regulations and our ability to obtain necessary permits, and (xiv) other uncertainties and risk factors set out in filings made from time to time with the U.S. Securities and Exchange Commission ('SEC') and the Australian Securities Exchange, including Piedmont's most recent filings with the SEC. The forward-looking statements, projections and estimates are given only as of the date of this press release and actual events, results, performance, and achievements could vary significantly from the forward-looking statements, projections and estimates presented in this press release. Readers are cautioned not to put undue reliance on forward-looking statements. Piedmont disclaims any intent or obligation to update publicly such forward-looking statements, projections, and estimates, whether as a result of new information, future events or otherwise. Additionally, Piedmont, except as required by applicable law, undertakes no obligation to comment on analyses, expectations or statements made by third parties in respect of Piedmont, its financial or operating results or its securities.",businesswire.com,252,news,US,en,,https://mms.businesswire.com/media/20230103005156/en/709123/23/logo2.jpg,False,@businesswire,8.196854,0f17aa5d41a73504071ede78b7b29263
1,Tesla Announces Date for 2023 Investor Day,,2023-01-02 00:00:00,date,https://www.businesswire.com/news/home/20230102005084/en/Tesla-Announces-Date-for-2023-Investor-Day,businesswire.com,"We plan to host Tesla's 2023 Investor Day on March 1, 2023. The event will be live streamed from our Gigafactory Texas, with the option for some of ou","January 02, 2023 12:10 PM Eastern Standard Time AUSTIN, Texas--(BUSINESS WIRE)--We plan to host Tesla's 2023 Investor Day on March 1, 2023. The event will be live streamed from our Gigafactory Texas, with the option for some of our institutional and retail investors to attend in person (details to follow). Our investors will be able to see our most advanced production line as well as discuss long term expansion plans, generation 3 platform, capital allocation and other subjects with our leadership team.",businesswire.com,252,news,US,en,,http://www.businesswire.com/images/bwlogo_square.png,False,@businesswire,7.838547,3b269cd5da8dd16e82b6ca077f660652
2,The Fall Of Tesla And The Rise of Exxon Amid The Energy Crisis,Editor OilPrice.com,2023-01-01 00:00:00,date,https://finance.yahoo.com/news/fall-tesla-rise-exxon-amid-000000565.html,yahoo.com,"Growth stocks have been thoroughly hammered this year, with high inflation and rising interest rates pinching growth equities of all stripes. But few stocks exemplify the dramatic shake-up at the top,…","Growth stocks have been thoroughly hammered this year, with high inflation and rising interest rates pinching growth equities of all stripes. But few stocks exemplify the dramatic shake-up at the top, like leading EV maker Tesla Inc. (NASDAQ: TSLA). TSLA stock has tanked 69.5% in the year-to-date, wiping off a staggering $877 billion from its market cap. In comparison, the S&P 500 has declined a more modest 19.7% over the timeframe. Tesla has gone from being the fifth most valuable public company and now ranks just thirteenth with a market cap of $385 billion.
Tesla's woes are well documented, including Musk's Twitter takeover and related distractions; worries that high inflation and rising interest rates will dampen consumers' enthusiasm for EVs, as well as investor jitters about growth assets. TSLA shareholders are furious at CEO Elon Musk, The Wall Street Journal reports, for his Twitter antics and tomfoolery, which has led to several downgrades for the stock. Meanwhile, hordes of customers are canceling their Tesla orders, ""His personality is absolutely tanking the Tesla brand. I'm looking forward to having an Elon-free existence,'' a biotech exec with a Model S lease has told CNET. ""There is no Tesla CEO today,"" tweeted Gary Black, a hedge fund manager with ~$50 million worth of TSLA stock told Futurism.
Related: U.S. Oil, Gas Rigs Up 193 This Year
But Tesla is hardly alone here: most EV stocks have had a year to forget with rising costs, supply chain issues, increasing competition, and the threat of a potential recession causing many to sell off heavily.
Surprisingly, some Wall Street pundits have not given up on TSLA stock and are urging investors to use the selloff as a buying opportunity. To wit, Citi has tapped TSLA as a bullish contrarian stock for 2023, while Baird analyst Ben Kallo still sees Tesla as a 'Best Idea' stock in 2023. Meanwhile, Morgan Stanley says Tesla could extend its lead over its EV rivals in the coming year, and has cited 'valuation, cash flow, innovation and cost leadership' as key reasons to maintain a Buy-equivalent rating. Meanwhile, famed contrarian investor Cathie Wood, known for betting big on former growth stocks as they fall, recently loaded up on more than 25K shares of the EV giant.
In sharp contrast, things could not have gone differently for Tesla's biggest fossil fuel rival, Exxon Mobil Corp. (NYSE: XOM). Exxon Mobil has enjoyed the biggest rise in the S&P 500 this year, with the energy giant jumping almost like technology stocks did in the tech boom thanks to high oil and gas prices triggered by the energy crisis. XOM shares have soared 72% this year, adding $190 billion to the company's market value. Exxon's increase in market value surpasses any company in the S&P 500, making Exxon Mobil the eighth most valuable stock in the S&P 500. That's a remarkable jump considering that it only ranked 27th most valuable in the S&P 500 a year ago. Exxon was the most valuable S&P 500 company in 2011 until Apple Inc. (NASDAQ: AAPL) surpassed it in 2012.
Whereas Citi has picked XOM as one of its bearish contrarian stocks for 2023, the stock is viewed favorably by most Wall Street analysts, as evidenced by its $118.89 average price target, good for a 10% upside. The energy sector in general is expected to outperform the market again in 2023, and XOM should be just fine, considering it's still cheap with a PE (Fwd) of 7.9. Back in October, Exxon raised its quarterly dividend by $0.03 per share to $0.91 per share marking the company's 40th straight year of increasing its dividend, keeping it in the elite group of Dividend Aristocrats. XOM shares now yield 3.3%.
The outlook for the energy sector remains bright. According to a recent Moody's research report, industry earnings will stabilize overall in 2023, though they will come in slightly below levels reached by recent peaks.
The analysts note that commodity prices have declined from very high levels earlier in 2022, but have predicted that prices are likely to remain cyclically strong through 2023. This, combined with modest growth in volumes, will support strong cash flow generation for oil and gas producers. Moody's estimates that the U.S. energy sector's EBITDA for 2022 will clock in at $623B but fall slightly to $585B in 2023.
The analysts say that low capex, rising uncertainty about the expansion of future supplies, and high geopolitical risk premium will, however, continue to support cyclically high oil prices. Meanwhile, strong export demand for U.S. LNG will continue supporting high natural gas prices.
The combined dividend and buyback yield for the energy sector is now approaching 8%, which is high by historical standards. Similarly elevated levels occurred in 2020 and 2009, which preceded periods of strength. In comparison, the combined dividend and buyback yield for the S&P 500 is closer to five percent, which makes for one of the largest gaps in favor of the energy sector on record.
In other words, there simply aren't better places for people investing in the U.S. stock market to park their money if they are looking for serious earnings growth.
By Alex Kimani for Oilprice.com
More Top Reads from Oilprice.com:
A New Type Of Oil And Gas Funding Is Booming
What is Crude Oil? A Detailed Explanation on this Essential Fossil Fuel
Chevron Sending Tanker To Venezuela To Load Oil
Read this article on OilPrice.com",yahoo.com,31,news,US,en,Editor OilPrice.com,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,False,@YahooFinance,7.5425863,78db9590f74dfa47c3dc6b1e7b6dbe22
3,"Tesla's Shanghai gigafactory delivers 710,000 vehicles in 2022",王俊伟,2023-01-05 00:00:00,date,http://global.chinadaily.com.cn/a/202301/05/WS63b6d7eea31057c47eba7ea4.html,chinadaily.com.cn,"Tesla's Shanghai plant delivered 710,000 vehicles in 2022, an increase of 48 percent from 2021, the US electric carmaker said Thursday.","Xinhua | Updated: 2023-01-05 21:59 Employees at work at the Shanghai plant of Tesla Inc. [Photo/Xinhua] SHANGHAI - Tesla's Shanghai plant delivered 710,000 vehicles in 2022, an increase of 48 percent from 2021, the US electric carmaker said Thursday. Delivery of the Model Y at the Shanghai Gigafactory exceeded 450,000 vehicles last year, while that of the Model 3 surpassed 250,000, it said. In August 2022, the factory saw its 1 millionth vehicle leave the assembly line, less than three years after its first made-in-China car was delivered. Established in 2019, the Tesla Gigafactory in Shanghai is the carmaker's first Gigafactory outside the United States, with an industrial chain localization rate of more than 95 percent and 99.99 percent of the employees being Chinese.",chinadaily.com.cn,527,news,CN,en,王俊伟,http://img2.chinadaily.com.cn/images/202301/05/63b6d7eea31057c4b4b2c754.jpeg,False,@ChinaDailyApp,7.488366,a34f142df85c1021e65d75746d4aea37
4,Tesla China to start delivering two new models,,2023-01-03 00:00:00,date,http://global.chinadaily.com.cn/a/202301/03/WS63b39184a31057c47eba7667.html,chinadaily.com.cn,"Tesla China will begin delivering the Model S Plaid and the Model X Plaid to customers on the Chinese mainland in the first half of 2023, the company has said.","Xinhua | Updated: 2023-01-03 10:22 The Tesla Model S Plaid is on display at the fifth China International Import Expo in Shanghai, on Nov 5, 2022. [Photo/VCG] SHANGHAI -- Tesla China will begin delivering the Model S Plaid and the Model X Plaid to customers on the Chinese mainland in the first half of 2023, the company has said. The two new vehicle models were debuted at the 5th China International Import Expo, which was held in November. Tesla China said the Model S Plaid has an endurance mileage of 637 km, and it can accelerate from zero to 100 km per hour in just 2.1 seconds, with a maximum speed of 322 km per hour. Tesla's Shanghai Gigafactory delivered over 650,000 vehicles in the first 11 months of 2022. In November alone, deliveries from the Shanghai plant totaled 100,291 vehicles, a record high. At present, Tesla has nearly 1,500 supercharging stations and 10,000 supercharging piles on the Chinese mainland. The annual sales of the Shanghai Gigafactory are expected to hit 750,000 vehicles in 2022, according to Cui Dongshu, secretary-general of the China Passenger Car Association.",chinadaily.com.cn,527,news,CN,en,,http://img2.chinadaily.com.cn/images/202301/03/63b39184a31057c4b4b29c17.jpeg,False,@ChinaDailyApp,7.488366,b42b2e401f40a355090ef17036b155c8
5,Teslas of the sea? CES showcases electric hydrofoil boats,Matt O'brien,2023-01-06 00:00:00,date,https://www.thestar.com/life/2023/01/06/teslas-of-the-sea-ces-showcases-electric-hydrofoil-boats.html,thestar.com,"Flying cars and self-driving vehicles always get attention at the CES gadget show in Las Vegas, but this year electric recreational boats are making b...","Flying cars and self-driving vehicles always get attention at the CES gadget show in Las Vegas, but this year electric recreational boats are making bigger waves.

Swedish company Candela on Thursday unveiled a 28-foot (8.5-meter) electric-powered hydrofoil speedboat that can cruise for over two hours at 20 knots, or about 23 mph. California startup Navier tried to outdo its Scandinavian rival by bringing an electric hydrofoil that's a little bit longer, though Candela is further along in getting its products to customers.

Even the recreational motorboat conglomerate Brunswick Corporation tried to make a splash in Nevada this week by showing off its latest electric outboard motor — an emerging segment of its mostly gas-powered fleet.

WHY ELECTRIC?

A chief reason is environmental, as well as to save on rising fuel costs. But electric-powered boats — particularly with the sleek foiling designs that lift the hull above the water's surface at higher speeds — can also offer a smoother and quieter ride.

'You can have a wine glass and it does not spill,' Navier CEO Sampriti Bhattacharyya told The Associated Press last month. 'And it's quiet, extremely quiet. You can have a conversation, unlike on a gas boat.'

WHEN CAN YOU GET ONE?

Candela CEO Gustav Hasselskog said his company has already sold and manufactured 150 of its brand-new C-8 model. The Stockholm-based startup has been scaling up its workforce from 60 employees a year ago to about 400 later this year as it prepares to ramp up production.

But with a roughly $400,000 price tag, neither the C-8 nor Navier's N30 is aiming to replace the aluminum boat used to fish on the lake. They've been described as Teslas of the sea, with hopes that what starts off as a luxury vehicle could eventually help transform the marine industry.

'They tend to be entrepreneurs,' Hasselskog said of Candela's first customers. 'They tend to be tech enthusiasts, if you like, with an optimistic view about the future and the ability of technology to solve all kinds of societal challenges.'

Navier's investment backers include Google co-founder Sergey Brin, which means he's probably getting one, too.

ARE BOATERS READY FOR THIS?

Probably not. These early electric boat models are expensive, heavy and could instill more serious 'range anxiety' than what drivers have felt about electric cars, said Truist Securities analyst Michael Swartz, who follows the leisure boat industry.

'How safe is it for me to go out in the middle of the week with no one around, miles from shore, in an electric outboard engine?' Swartz said.

Swartz said they might make more sense to use electric motors — such as a new CES offering from Brunswick-owned Mercury Marine — to power a fleet of small rental boats, perhaps at the widely-used boating clubs also run by Brunswick.

'You're not anywhere near the type of electric boat where you can go 50 miles offshore and go fishing for a couple of hours and come back,' Swartz said. 'There's no technology that can enable you to replicate that experience outside of an internal combustion engine.'

BRING ON THE WATER TAXIS?

Both Candela and Navier are planning for a secondary market of electric ferries that could compete with the gas-powered vehicles that now carry commuters around populated regions such as the Stockholm archipelago or along San Francisco Bay.

Hasselskog said the same technology powering Candela's new leisure boat will also be used to power a 30-passenger catamaran prototype that could operate in Sweden by summer.

For a city like Stockholm, which has already electrified most of its public ground transportation, its dozens of large ferry boats are an outlier in producing carbon emissions.

'They need something like 220 of these (electric) vessels to replace the current fleet,' Hasselskog said. And instead of running on fixed schedules with empty seats, the smaller electric vehicles might be able to be summoned on demand such as how Uber or Lyft work on land.

AUTOMATIC DOCKING

Many of the companies developing electric boat propulsion also have teams working on making these vehicles more autonomous. But since most recreational boaters like piloting their own boats — and most ferry passengers likely prefer a human captain at the helm — the self-driving innovation is focused on what happens at the marina.

'There's an intimidation factor with boating and a lot of the intimidation factor you hear from consumers is with docking,' said Swartz, the Truist analyst. 'So if that can be made seamless and automated, it's a huge deal.'",thestar.com,748,news,CA,en,"Matt O'Brien,The Associated Press",https://images.thestar.com/zWBK2FIB10OAtdzhbBCXI7QaGS0=/1280x1024/smart/filters:cb(1673031123787):format(webp)/https://www.thestar.com/content/dam/thestar/life/2023/01/06/teslas-of-the-sea-ces-showcases-electric-hydrofoil-boats/20230106130144-63b86c3cc77666a04d072970jpeg.jpg,False,Matt O'brien,7.4629693,dc587762aff9c0bc00a1fd3f57d7dc0e
6,"Tesla's Shanghai gigafactory delivers 710,000 vehicles in 2022",,2023-01-06 00:00:00,date,http://en.people.cn/n3/2023/0106/c90000-10192552.html,people.cn,"(Xinhua) 09:15, January 06, 2023 Employees at work at the Shanghai plant of Tesla Inc. [Photo/Xinhua] SHANGHAI, Jan. 5 (Xinhua) -- Tesla's Shanghai plant delivered 710,000 vehicles in 2022, an…","(Xinhua) 09:15, January 06, 2023 
 Employees at work at the Shanghai plant of Tesla Inc. [Photo/Xinhua]
 SHANGHAI, Jan. 5 (Xinhua) -- Tesla's Shanghai plant delivered 710,000 vehicles in 2022, an increase of 48 percent from 2021, the U.S. electric carmaker said Thursday.
 Delivery of the Model Y at the Shanghai Gigafactory exceeded 450,000 vehicles last year, while that of the Model 3 surpassed 250,000, it said.
 In August 2022, the factory saw its 1 millionth vehicle leave the assembly line, less than three years after its first made-in-China car was delivered.
 Established in 2019, the Tesla Gigafactory in Shanghai is the carmaker's first Gigafactory outside the United States, with an industrial chain localization rate of more than 95 percent and 99.99 percent of the employees being Chinese. (Web editor: Cai Hairuo, Liang Jun) Photos Related Stories",people.cn,2235,news,CN,en,,http://en.people.cn/NMediaFile/2023/0106/FOREIGN202301060915000528774465993.jpeg,False,,7.4503307,e0169facc4c0a7865ca249befe5a6fc7
7,How To Unlock And Start A Tesla Using The Mobile App,Michael Akuchie,2023-01-02 00:00:13,date,https://screenrant.com/tesla-app-unlock-start-car-how/,screenrant.com,The car and app need a cellular connection.,"The Tesla mobile app enables drivers to manage various aspects of their cars, and it can also be used to lock, unlock, and start a vehicle. Tesla EVs are popular for their technological prowess which have attracted buyers through the years. For example, the automaker's advanced driving assistance/safety systems are considered to be top-level despite the controversies over their viability. Tesla maintains a healthy lead over other vehicle manufacturers in the EV scene, and that's not expected to change in the next few years. Tesla's app can remotely unlock and start all its vehicles – the Model X, Y, S, and 3. The process is identical for each model. For this to work, both the app and EV must be connected to a cellular network. Additionally, mobile access should be activated on the touchscreen. Only then will this function be possible. To do this, users should open the Tesla app and tap 'Controls' followed by 'Unlock'. Selecting 'Yes' on the confirmation popup window instantly unlocks the doors. Starting the EV requires a similar approach. Instead of 'Unlock' after navigating to the 'Controls' section, drivers should tap 'Start'. There's a two-minute window to begin driving after remotely starting the vehicle. When this period elapses, the process has to be restarted. Other Functions Of The Tesla App It's common for automakers to build and design a mobile app which serves as a means to get the most out of one's vehicle ownership. The Kia Connect app, for example, not only helps drivers to remotely access their EVs but also displays useful information like nearby charging stations and available range. Similarly, the Tesla mobile app is also multipurpose. There's a self-diagnostic feature that allows users to verify problems that drivers have already reported. Additionally, the app can be used to schedule service appointments and request roadside assistance ranging from lockouts to flat tires. The app also shares pointers on how drivers can maximize available range. This feature is highly recommended for those driving in snowy weather. It's common knowledge that EVs suffer significant range loss in cold conditions. So, an app that provides helpful information on driving range is a must-have for all Tesla drivers. Vehicle owners can also utilize the app to precondition their cabins and batteries before starting a drive. Away from vehicle management, the app helps users to manage energy products like the Powerwall and Wall Connector. For instance, they can set the Powerwall to act as backup protection during outages. The Tesla app also helps to troubleshoot basic problems with Powerwall and Solar Roof, but it's worth noting that additional assistance may be necessary for serious issues. More: Tesla Premium Connectivity: What You Get For $9.99 A Month Source: Tesla",screenrant.com,1862,news,US,en,Michael Akuchie,https://static1.srcdn.com/wordpress/wp-content/uploads/2022/12/tesla-evs-parked.jpg,False,@screenrant,7.44036,b0868362b57f95a8095c45d63ecaa51b
8,"Tesla's Sales in China Are Slipping, as Local Competition Catches Up",Tori Latham,2023-01-06 00:00:00,date,https://www.yahoo.com/lifestyle/tesla-sales-china-slipping-local-000000852.html,yahoo.com,The EV company is losing ground in a country that makes up 40 percent of its sales.,"Elon Musk's woes continue.
After losing $200 billion from his net worth last year, the Tesla CEO was met with the news that the EV company's sales in China dropped off in December, The New York Times reported on Thursday. Tesla sold only about 56,000 cars in the country last month, down 21 percent from the year prior and a whopping 44 percent from November.
More from Robb Report
BMW's Kaleidoscopic New Concept Car Can Shift Between 32 Colors at the Push of a Button
A 'Very Sporty' Porsche 911 Hybrid Is Coming Soon, CEO Says
Elon Musk Breaks Another Record: First Person to Lose $200 Billion
That's a worrying sign for the company, given that China is the world's largest car market, making up about 40 percent of Tesla's sales. 'When you are not active in the largest market in the world, you are nowhere,' Axel Schmidt, a senior managing director at Accenture overseeing the firm's automotive division, said before the sales numbers were published.
Part of Tesla's decline is due to local competition within China. Companies such as BYD, a domestic automaker and the country's top EV brand, have been gaining market share. In December, BYD sales nearly doubled compared with the year prior, and they were up 2 percent from November, according to data from China's Passenger Car Association cited in the Times. And while the government has promoted EV adoption among the populace, it has recently slashed subsidies that incentivized Chinese buyers to purchase a new EV. That has made carmakers, including Tesla, have to cut prices to compensate for the lack of state-backed stipend.
The worry is that these trends could hurt Tesla more broadly, not just in China. The company's worsening performance in the country has affected its overall share price, which has fell sharply in the past year (with a decline of about 3 percent during Thursday trading). And with BYD and other Chinese car makers moving into the European market, Tesla could start to lose ground there as well.
It's not all bad news, at least: In 2022, Tesla's sales in China rose almost 50 percent overall. Still, that might not be enough to help the company overcome its more recent backslide. In addition to fewer sales, Tesla has also slashed prices for the models made at its Shanghai plant, and wait times for vehicles have shifted from months to as little as a week.
'The major worry now overhead for Tesla is that the demand story, especially out of China, is showing heavy cracks in the armor at a time that EV competition is steadily increasing,' Daniel Ives, an analyst at Wedbush Securities, said in a note to clients on Wednesday.
Musk sure can't catch a break.
Best of Robb Report
The 15 Best Travel Trailers for Camping and Road-Tripping Adventures
The Chevy C8 Corvette: Everything We Know About the Powerful Mid-Engine Beast
The World's Best Superyacht Shipyards
Sign up for Robb Report's Newsletter. For the latest news, follow us on Facebook, Twitter, and Instagram.
Click here to read the full article.",yahoo.com,31,news,US,en,Tori Latham,https://media.zenfs.com/en/robb_report_967/cb576e57f93139f271d1cc17d08f2f7a,False,@Yahoo,7.211354,ef1537493a3272d5e04b127c170563fb
9,Four passengers survive after Tesla plunges off a cliff,,2023-01-03 00:00:00,date,https://www.usatoday.com/videos/news/nation/2023/01/03/four-passengers-survive-after-tesla-plunges-off-cliff/10982527002/,usatoday.com,A Tesla carrying 4 people plunged hundreds of feet off a cliff in California. All occupants were rescued.,A Tesla carrying 4 people plunged hundreds of feet off a cliff in California. All occupants were rescued.,usatoday.com,126,news,US,en,,https://www.gannett-cdn.com/presto/2023/01/03/USAT/7af3821a-8e82-4fc7-87be-a4767e499a3d-tesla.png?quality=10,False,,7.1923656,03ed1c62a62dd248d2ccb6a22f8dfc61
