,title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
0,UnitedHealth Group and Allianz SE Remain Atop AM Best's Largest Insurer Rankings,,2023-01-09 00:00:00,date,https://www.businesswire.com/news/home/20230109005584/en/UnitedHealth-Group-and-Allianz-SE-Remain-Atop-AM-Best%E2%80%99s-Largest-Insurer-Rankings,businesswire.com,"UnitedHealth Group Incorporated held onto the top spot in AM Best's ranking of the world's 25 largest insurance companies for an eighth straight year,","January 09, 2023 09:24 AM Eastern Standard Time OLDWICK, N.J.--(BUSINESS WIRE)--UnitedHealth Group Incorporated held onto the top spot in AM Best's ranking of the world's 25 largest insurance companies for an eighth straight year, growing net premiums written (NPW) by 12% in 2021 to $226.2 billion. In addition, Allianz SE remained in its top spot by nonbanking assets, at $1.2 trillion, while Berkshire Hathaway Inc. rose to second place from fifth.

AM Best released the rankings of the world's largest global insurance companies, by NPW and nonbanking assets, in the Jan. 6, 2023, issue of Best's News. The two rankings are based on BestLink data and additional research.

Overall, the two rankings saw some reshuffling in the top spots, with U.S.-based health insurers further strengthening their leading positions. Centene Corp. and Elevance Health Inc. (formerly Anthem Inc.) advanced two places in the NPW ranking to come in at second and third. These gains came at the expense of two Chinese insurers — China Life Insurance (Group) Co. Ltd. and Ping An Insurance (Group) Co. of China Ltd. Both Chinese insurers remained in the top five but China Life fell one slot to No. 4 and Ping An fell to No. 5 from No. 2.

Japan-based insurers National Mutual Insurance Federation of Agricultural Cooperatives, Japan Post Insurance, Dai-Ichi Life and Nippon Life all slipped in the ranking by nonbanking assets, with yen depreciation cited as a major driver. Nippon Life also fell the furthest on the NPW ranking, to No. 25 from No. 18.

The top 10 global insurers ranked by 2021 NPW are as follows:


UnitedHealth Group Incorporated, United States


Centene Corporation, United States


Elevance Health, Inc., United States


China Life Insurance (Group) Company, China


Ping An Insurance (Group) Company of China Ltd., China


Kaiser Foundation Group of Health Plans, United States


AXA S.A., France


Allianz SE, Germany


People's Insurance Company (Group) of China Ltd., China


Assicurazioni Generali S.p.A., Italy


The top 10 global insurers ranked by 2021 non-banking assets are as follows:


Allianz SE, Germany


Berkshire Hathaway Inc., United States


Prudential Financial Inc., United States


Ping An Insurance (Group) Company of China Ltd., China


China Life Insurance (Group) Company, China


AXA S.A., France


Legal & General Group plc, United Kingdom


MetLife Inc., United States


Nippon Life Insurance Company, Japan


Manulife Financial Group, China


Best's News (formerly BestWeek) is published weekly by AM Best for insurance professionals and is available as part of a subscription to Best's News & Research Service. To order by phone, contact Customer Service at +1 908 439 2200, ext. 5742 or at +1 800 424 2378 when calling from the United States and Canada. To learn more about BestLink, visit http://www.ambest.com/sales/bestlink.

AM Best is a global credit rating agency, news publisher and data analytics provider specializing in the insurance industry. Headquartered in the United States, the company does business in over 100 countries with regional offices in New York, London, Amsterdam, Dubai, Hong Kong, Singapore and Mexico City. For more information, visit www.ambest.com.

Copyright © 2023 by A.M. Best Company, Inc. and/or its affiliates.
ALL RIGHTS RESERVED.",businesswire.com,252,news,US,en,,https://mms.businesswire.com/media/20230109005584/en/828829/23/AM_Best_Logo.jpg,False,@businesswire,12.854896,5a02f96c3545758d57219dd40ab746b3
1,"UnitedHealth Delivers Strong End to 2022, Maintains 2023 Guidance",Julie Utterback,2023-01-18 00:00:00,date,https://www.morningstar.com/articles/1132523/unitedhealth-delivers-strong-end-to-2022-maintains-2023-guidance,morningstar.com,Fourth-quarter free cash flow exceeded our expectations; fair value estimate to increase.,"UnitedHealth's UNH strong results continued in the fourth quarter, and for the full year, the company exceeded our expectations on a free cash flow basis while coming in about as we expected in other key metrics. On this robust cash flow generation, we plan to raise our fair value estimate by the midsingle digits on a percentage basis. After our fair value estimate change, UnitedHealth shares will probably remain slightly overvalued. Our economic moat rating, which remains narrow, recognizes the long-term policy risks the company faces primarily in medical insurance and pharmacy benefit management, although the shares appear to be benefiting from a particularly benign period of policy risk currently. Overall, UnitedHealth delivered a strong end to the year, with the medical insurance operations leading the way on the bottom line and the Optum franchises continuing to deliver strong growth, and the company was able to roughly meet or exceed our expectations for the full year. The company especially impressed on a free cash flow basis, generating $23 billion in free cash flow in 2022, or about $1 billion more than we had anticipated. It turned in $324 billion of sales in 2022, right in line with expectations, and exceeded its own guidance on the bottom line, with 17% growth in adjusted earnings per share to $22.19, slightly above management's most recent guidance of $21.85-$22.05. The company appears set for another strong year in 2023 as management maintained the guidance given at its November analyst day, including $357 billion-$360 billion of sales, adjusted EPS of $24.40-$24.90 (10%-12% growth, or slightly below its 13%-16% long-term target), and operating cash flows of $27 billion-$28 billion. Given the firm's penchant for exceeding guidance, especially on the bottom line, we intend to maintain our slightly higher assumptions for 2023.",morningstar.com,2140,news,US,en,"CFA,Julie Utterback",https://cloudfront-us-east-1.images.arcpublishing.com/morningstar/LXJBXID3YBGOBOEX3EJZNPQ3NE.png,False,@MorningstarInc,9.989486,53dd1d7be338194270e08ca46ac57d0e
2,UnitedHealth Group is a buy with a lot of upside: Elizabeth Evans,,2023-04-05 00:00:00,date,https://video.foxbusiness.com/v/6324027035112/,foxbusiness.com,Evans May Wealth managing partner Elizabeth Evans provides insight on ETFs and key names to watch on 'Making Money.',,foxbusiness.com,915,news,US,en,,https://cf-images.us-east-1.prod.boltdns.net/v1/static/854081161001/c3b9b2b2-3277-45c7-a65e-4ba172035d91/c567a8bc-181f-4407-ad4c-6ad60151215c/1280x720/match/image.jpg,False,@foxbusiness,15.020245,a474c1477d967c20dcc701d2aa92e37c
3,Analysis Group Recognized for Economic Analysis in UnitedHealth Merger and Broiler Chicken Criminal Antitrust Litigation by Global Competition Review's 2023 Awards,,2023-04-04 00:00:00,date,https://www.hawaiinewsnow.com/prnewswire/2023/04/04/analysis-group-recognized-economic-analysis-unitedhealth-merger-broiler-chicken-criminal-antitrust-litigation-by-global-competition-reviews-2023-awards/,hawaiinewsnow.com,"BOSTON, April 4, 2023 /PRNewswire/ -- Analysis Group, one of the largest international economics consulting firms, is honored to have worked on two matters recognized by Global Competition Review's…","BOSTON
, 
April 4, 2023
 /PRNewswire/ -- 
Analysis Group
, one of the largest international economics consulting firms, is honored to have worked on two matters recognized by 
Global Competition Review
's (GCR's) 2023 antitrust awards for ""creative, strategic, and innovative work by teams of in-house and external lawyers and economists.""
Analysis Group Logo
(PRNewswire)
UnitedHealth Group/Change Healthcare Merger
Analysis Group was acknowledged at the GCR awards ceremony for its work on 
US, et al. v. UnitedHealth Group Inc., et al.
, which was awarded ""Merger Control Matter of the Year – Americas."" The teams working on the merger successfully defeated all three theories of harm put forward by the US Department of Justice (DOJ) and attorneys general from 
New York
 and 
Minnesota
 in their bid to block the 
$13 billion
 tie-up.
An Analysis Group team led by Principal 
Mark Lewis
, Vice President 
Emily Cotton
, and Manager 
Philipp Tillmann
 provided analytical support to academic affiliate 
Catherine Tucker
. In a portion of her testimony, Professor Tucker refuted one of the DOJ's chief objections to the transaction – that UnitedHealth would exploit its access to Change Healthcare's privileged information to unfair advantage over competitors. She explained that UnitedHealth would handicap its own business should it attempt to take anticompetitive advantage of the information made available through the merger. In allowing the merger to proceed, Judge 
Carl J. Nichols
 of the US District Court for the 
District of Columbia
 found that the government relied ""on speculation rather than real-world evidence"" for its claims that UnitedHealth would exploit Change's data and innovations to benefit its own health plan and disadvantage rivals. The companies closed the deal in 
October 2022
.
Broiler Chicken Criminal Antitrust Litigation 
Analysis Group was also recognized for its work on 
US v. Penn, et al.
, which was awarded ""Behavioural Matter of the Year – Americas."" In the matter, the DOJ alleged that the defendants engaged in an agreement to fix prices and rig bids for broiler chickens between 2012 and 2019. The DOJ charged the defendants with a criminal violation of Section 1 of the Sherman Act for an alleged conspiracy to restrain trade. Following a hung jury in two prior trials, the DOJ took the unprecedented step of trying the case a third time.
An Analysis Group team led by Managing Principal 
Andrea Okie
; Principal 
Mark Lewis
; and Vice Presidents 
Kevin Gallagher, 
Ishita Rajani
, and 
David Smith
 supported academic affiliate Professor 
Edward Snyder
 in preparing his testimony for all three trials. In his testimony on the existence of economic evidence consistent with a price-fixing agreement during the third trial, Professor Snyder showed that exchanges of information are expected in the broiler chicken industry and do not necessarily indicate a conspiracy. He also showed that the at-issue prices were not systematically higher than a set of benchmark prices analyzed for the case. After two mistrials, the jury found all five executives charged in the third trial not guilty. The DOJ also subsequently dropped its charges against four other executives in a related matter before the federal criminal trial was set to begin.
To learn more about Analysis Group's capabilities, visit 
AnalysisGroup.com 
About Analysis Group:
Analysis Group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in 
North America
, 
Europe
, and 
Asia
. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.
Contact:
Analysis Group
Eric Seymour
, +1 978 273 6049
eric.seymour@analysisgroup.com
View original content to download multimedia:
SOURCE Analysis Group
The above press release was provided courtesy of PRNewswire. The views, opinions and statements in the press release are not endorsed by Gray Media Group nor do they necessarily state or reflect those of Gray Media Group, Inc.",hawaiinewsnow.com,5663,news,US,en,,https://www.hawaiinewsnow.com/pf/resources/images/logo-icons/khnl.svg?d=325,False,@hawaiinewsnow,10.2846575,d89b84736f7b096b401dba9d69bdd89a
4,AN AMERICAN TAIL at UnitedHealth Group Stage,BWW Special Offer,2023-04-17 00:00:00,date,https://www.broadwayworld.com/minneapolis/article/AN-AMERICAN-TAIL-at-UnitedHealth-Group-Stage-20230417,broadwayworld.com,Special Offer: 'An American Tail the Musical' Opens in 2 Weeks—See Best Availability,"An army of cats forces young Fievel Mousekewitz and his family to escape from Russia by boat. When a storm at sea separates them, Fievel arrives alone in the vast city of New York.

In this riveting new musical based on the beloved animated film, the steadfastly optimistic Fievel makes his way as a new immigrant, encountering friends and foes (including a few scene-stealing cockroaches!). Despite everything stacked against him, Fievel clings to his dreams of a better life and reuniting with his family. Are they Somewhere Out There?",broadwayworld.com,2460,news,US,en,BWW Special Offer,https://cloudimages.broadwayworld.com/columnpiccloud/1250-a0778a57311b5e1de948ee2b86b78570.jpg,False,@broadwayworld,16.516201,2587ab25434939d3edab1d2433d63a16
5,"How did UnitedHealth Group get fatter than the nation's biggest banks? Everything was 'in plan,' for starters",,2023-05-20 00:00:00,date,https://www.fark.com/goto/12864470/www.cnbc.com/2023/05/20/how-unitedhealth-group-grew-bigger-than-the-nations-biggest-banks.html?utm,fark.com,"How did UnitedHealth Group get fatter than the nation's biggest banks? Everything was 'in plan,' for starters","Click here (and fix your browser's Javascript settings)
 if you are not redirected to your destination within 2 seconds...",fark.com,5184,news,US,en,,https://usrimg-full.fark.net/8/8F/fark_8FUNZVKuxfzLRgJpzpvUJ9Sgxbo.jpg?AWSAccessKeyId=UKDINQXVGV49TCSSKJLK&Expires=1685332800&Signature=TsKgiSbb%2F%2BLIpasrs7QBm59gBJU%3D,False,@fark,12.374142,f7a16241e263a440473ad5b0f84922d7
6,UnitedHealth Group (UNH) Stock Sinks As Market Gains: What You Should Know,Zacks Investment Research,2023-07-03 00:00:00,date,https://www.zacks.com/stock/news/2116220/unitedhealth-group-unh-stock-sinks-as-market-gains-what-you-should-know,zacks.com,"UnitedHealth Group (UNH) closed at $477.88 in the latest trading session, marking a -0.57% move from the prior day.","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herein are trademarks of Microsoft Corporation; Dow Jones & Company; Nasdaq, Inc.; Forbes Media, LLC; Investor's Business Daily, Inc.; and Morningstar, Inc.

Copyright 2023 Zacks Investment Research | 10 S Riverside Plaza Suite #1600 | Chicago, IL 60606

At the center of everything we do is a strong commitment to independent research and sharing its profitable discoveries with investors. This dedication to giving investors a trading advantage led to the creation of our proven Zacks Rank stock-rating system. Since 1988 it has more than doubled the S&P 500 with an average gain of +24.17% per year. These returns cover a period from January 1, 1988 through May 15, 2023. Zacks Rank stock-rating system returns are computed monthly based on the beginning of the month and end of the month Zacks Rank stock prices plus any dividends received during that particular month. A simple, equally-weighted average return of all Zacks Rank stocks is calculated to determine the monthly return. The monthly returns are then compounded to arrive at the annual return. Only Zacks Rank stocks included in Zacks hypothetical portfolios at the beginning of each month are included in the return calculations. Zacks Ranks stocks can, and often do, change throughout the month. Certain Zacks Rank stocks for which no month-end price was available, pricing information was not collected, or for certain other reasons have been excluded from these return calculations.

Visit Performance Disclosure for information about the performance numbers displayed above.

Visit www.zacksdata.com to get our data and content for your mobile app or website.

Real time prices by BATS. Delayed quotes by FIS.

NYSE and AMEX data is at least 20 minutes delayed. NASDAQ data is at least 15 minutes delayed.

This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",zacks.com,5994,finance,US,en,"Zacks Equity Research,Zacks Investment Research",https://staticx-tuner.zacks.com/images/default_article_images/default47.jpg,False,@ZacksInvestment,23.070305,59a78f71b97e94f1c952b77bf6208ed8
7,Why UnitedHealth Group (UNH) is a Top Value Stock for the Long-Term,Zacks Investment Research,2023-09-08 00:00:00,date,https://www.zacks.com/stock/news/2146561/why-unitedhealth-group-unh-is-a-top-value-stock-for-the-long-term,zacks.com,"Wondering how to pick strong, market-beating stocks for your investment portfolio? Look no further than the Zacks Style Scores.","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herein are trademarks of Microsoft Corporation; Dow Jones & Company; Nasdaq, Inc.; Forbes Media, LLC; Investor's Business Daily, Inc.; and Morningstar, Inc.

Copyright 2023 Zacks Investment Research | 10 S Riverside Plaza Suite #1600 | Chicago, IL 60606

At the center of everything we do is a strong commitment to independent research and sharing its profitable discoveries with investors. This dedication to giving investors a trading advantage led to the creation of our proven Zacks Rank stock-rating system. Since 1988 it has more than doubled the S&P 500 with an average gain of +24.32% per year. These returns cover a period from January 1, 1988 through July 31, 2023. Zacks Rank stock-rating system returns are computed monthly based on the beginning of the month and end of the month Zacks Rank stock prices plus any dividends received during that particular month. A simple, equally-weighted average return of all Zacks Rank stocks is calculated to determine the monthly return. The monthly returns are then compounded to arrive at the annual return. Only Zacks Rank stocks included in Zacks hypothetical portfolios at the beginning of each month are included in the return calculations. Zacks Ranks stocks can, and often do, change throughout the month. Certain Zacks Rank stocks for which no month-end price was available, pricing information was not collected, or for certain other reasons have been excluded from these return calculations.

Visit Performance Disclosure for information about the performance numbers displayed above.

Visit www.zacksdata.com to get our data and content for your mobile app or website.

Real time prices by BATS. Delayed quotes by FIS.

NYSE and AMEX data is at least 20 minutes delayed. NASDAQ data is at least 15 minutes delayed.

This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",zacks.com,5994,finance,US,en,"Zacks Equity Research,Zacks Investment Research",https://staticx-tuner.zacks.com/images/default_article_images/default188.jpg,False,@ZacksInvestment,25.360973,930f935e86f2d0ca004257cf19cc6b31
8,UnitedHealth Group (UNH) Gains As Market Dips: What You Should Know,Zacks Investment Research,2023-09-05 00:00:00,date,https://www.zacks.com/stock/news/2145076/unitedhealth-group-unh-gains-as-market-dips-what-you-should-know,zacks.com,"UnitedHealth Group (UNH) closed at $480.81 in the latest trading session, marking a +0.96% move from the prior day.","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herein are trademarks of Microsoft Corporation; Dow Jones & Company; Nasdaq, Inc.; Forbes Media, LLC; Investor's Business Daily, Inc.; and Morningstar, Inc.

Copyright 2023 Zacks Investment Research | 10 S Riverside Plaza Suite #1600 | Chicago, IL 60606

At the center of everything we do is a strong commitment to independent research and sharing its profitable discoveries with investors. This dedication to giving investors a trading advantage led to the creation of our proven Zacks Rank stock-rating system. Since 1988 it has more than doubled the S&P 500 with an average gain of +24.32% per year. These returns cover a period from January 1, 1988 through July 31, 2023. Zacks Rank stock-rating system returns are computed monthly based on the beginning of the month and end of the month Zacks Rank stock prices plus any dividends received during that particular month. A simple, equally-weighted average return of all Zacks Rank stocks is calculated to determine the monthly return. The monthly returns are then compounded to arrive at the annual return. Only Zacks Rank stocks included in Zacks hypothetical portfolios at the beginning of each month are included in the return calculations. Zacks Ranks stocks can, and often do, change throughout the month. Certain Zacks Rank stocks for which no month-end price was available, pricing information was not collected, or for certain other reasons have been excluded from these return calculations.

Visit Performance Disclosure for information about the performance numbers displayed above.

Visit www.zacksdata.com to get our data and content for your mobile app or website.

Real time prices by BATS. Delayed quotes by FIS.

NYSE and AMEX data is at least 20 minutes delayed. NASDAQ data is at least 15 minutes delayed.

This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",zacks.com,5994,finance,US,en,"Zacks Equity Research,Zacks Investment Research",https://staticx-tuner.zacks.com/images/default_article_images/default55.jpg,False,@ZacksInvestment,24.32349,e45fb1b6b8142f80376b42808a18ed3d
9,UnitedHealth Group (UNH) Outpaces Stock Market Gains: What You Should Know,Zacks Investment Research,2023-09-25 00:00:00,date,https://www.zacks.com/stock/news/2155097/unitedhealth-group-unh-outpaces-stock-market-gains-what-you-should-know,zacks.com,"UnitedHealth Group (UNH) closed the most recent trading day at $510.28, moving +0.83% from the previous trading session.","This page has not been authorized, sponsored, or otherwise approved or endorsed by the companies represented herein. Each of the company logos represented herein are trademarks of Microsoft Corporation; Dow Jones & Company; Nasdaq, Inc.; Forbes Media, LLC; Investor's Business Daily, Inc.; and Morningstar, Inc.

Copyright 2023 Zacks Investment Research | 10 S Riverside Plaza Suite #1600 | Chicago, IL 60606

At the center of everything we do is a strong commitment to independent research and sharing its profitable discoveries with investors. This dedication to giving investors a trading advantage led to the creation of our proven Zacks Rank stock-rating system. Since 1988 it has more than doubled the S&P 500 with an average gain of +24.32% per year. These returns cover a period from January 1, 1988 through July 31, 2023. Zacks Rank stock-rating system returns are computed monthly based on the beginning of the month and end of the month Zacks Rank stock prices plus any dividends received during that particular month. A simple, equally-weighted average return of all Zacks Rank stocks is calculated to determine the monthly return. The monthly returns are then compounded to arrive at the annual return. Only Zacks Rank stocks included in Zacks hypothetical portfolios at the beginning of each month are included in the return calculations. Zacks Ranks stocks can, and often do, change throughout the month. Certain Zacks Rank stocks for which no month-end price was available, pricing information was not collected, or for certain other reasons have been excluded from these return calculations.

Visit Performance Disclosure for information about the performance numbers displayed above.

Visit www.zacksdata.com to get our data and content for your mobile app or website.

Real time prices by BATS. Delayed quotes by FIS.

NYSE and AMEX data is at least 20 minutes delayed. NASDAQ data is at least 15 minutes delayed.

This site is protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply.",zacks.com,5994,finance,US,en,"Zacks Equity Research,Zacks Investment Research",https://staticx-tuner.zacks.com/images/default_article_images/default305.jpg,False,@ZacksInvestment,23.29881,2853fed0d3711798d7fb61ee882356ec
